epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3464.36,0.91418,0.53452,1.11826,0.91281,0.85765,0.91171,0.61996,0.95448,0.49906,1.18301,0.000848969,0.000848969,0.000848969
43,3545.4,0.91183,0.53191,1.11394,0.9136,0.874,0.92759,0.62288,0.97043,0.48838,1.19424,0.000834822,0.000834822,0.000834822
44,3629.43,0.90898,0.53003,1.11919,0.8966,0.87851,0.91938,0.61289,0.99102,0.49453,1.20076,0.000820675,0.000820675,0.000820675
45,3709.83,0.91765,0.5359,1.11657,0.90398,0.8611,0.90835,0.60138,0.98302,0.50507,1.18969,0.000806528,0.000806528,0.000806528
46,3793.88,0.91484,0.53116,1.12543,0.90919,0.88016,0.92109,0.6079,1.02315,0.49839,1.22122,0.00079238,0.00079238,0.00079238
47,3874.15,0.90485,0.52502,1.1136,0.90725,0.87325,0.92009,0.60047,1.00224,0.49461,1.20952,0.000778233,0.000778233,0.000778233
48,3955.84,0.89548,0.51329,1.10774,0.92237,0.8736,0.92384,0.60593,1.01123,0.49771,1.21792,0.000764086,0.000764086,0.000764086
49,4041.07,0.89586,0.51584,1.10312,0.91754,0.875,0.91852,0.60832,1.00187,0.48697,1.20005,0.000749939,0.000749939,0.000749939
50,4121.81,0.88777,0.50863,1.10334,0.92398,0.87363,0.92042,0.62287,0.98196,0.48037,1.1815,0.000735792,0.000735792,0.000735792
51,4206.46,0.89571,0.50556,1.09646,0.92298,0.86477,0.92309,0.60903,1.00028,0.50339,1.20009,0.000721645,0.000721645,0.000721645
52,4285.2,0.89447,0.50415,1.09597,0.90235,0.86706,0.91717,0.60278,1.00584,0.48486,1.20362,0.000707498,0.000707498,0.000707498
53,4371.2,0.87101,0.49659,1.10153,0.93355,0.86392,0.92595,0.62396,0.97366,0.48295,1.19158,0.000693351,0.000693351,0.000693351
54,4450.46,0.88717,0.50485,1.09515,0.91441,0.86087,0.91851,0.60854,1.00277,0.48964,1.20568,0.000679204,0.000679204,0.000679204
55,4531.02,0.88402,0.50327,1.09522,0.91912,0.86744,0.92215,0.607,1.00118,0.48877,1.19846,0.000665057,0.000665057,0.000665057
