epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.547,1.52583,2.1702,1.52174,0.45857,0.23935,0.22402,0.10706,1.75428,2.2997,1.98827,0.000664251,0.000664251,0.000664251
2,1406.05,1.66691,1.96036,1.6403,0.2962,0.12167,0.08814,0.03871,1.97542,2.52417,2.08169,0.00100152,0.00100152,0.00100152
3,2464.28,1.62934,1.83942,1.62116,0.52271,0.11906,0.12419,0.06782,1.61915,1.66521,1.70604,0.00100878,0.00100878,0.00100878
4,3639.2,1.49871,1.61524,1.52636,0.54447,0.16703,0.1724,0.1032,1.40784,1.33497,1.53892,0.000515,0.000515,0.000515
