epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1272.18,1.18064,1.0483,1.29529,0.81736,0.68382,0.78112,0.48638,1.25191,0.96769,1.38033,0.0011882,0.0011882,0.0011882
43,1302.33,1.16922,1.02386,1.29002,0.81429,0.69603,0.78496,0.49928,1.21581,0.91865,1.35941,0.0011684,0.0011684,0.0011684
44,1332.97,1.17355,1.01836,1.29028,0.81071,0.67241,0.76734,0.48213,1.258,0.97366,1.39402,0.0011486,0.0011486,0.0011486
45,1362.76,1.15704,1.0117,1.28132,0.80722,0.67859,0.77457,0.48352,1.24425,0.97586,1.38073,0.0011288,0.0011288,0.0011288
46,1392.63,1.15336,1.00742,1.28262,0.80319,0.67811,0.77544,0.48987,1.23113,0.95383,1.38516,0.001109,0.001109,0.001109
47,1422.38,1.15197,1.00168,1.28101,0.801,0.68109,0.77316,0.48858,1.25702,0.95489,1.39508,0.0010892,0.0010892,0.0010892
48,1452.24,1.14658,1.00584,1.28472,0.81536,0.69328,0.79123,0.50112,1.22241,0.92751,1.36325,0.0010694,0.0010694,0.0010694
49,1482.22,1.13567,0.98896,1.2762,0.82059,0.70039,0.78836,0.49813,1.23072,0.92702,1.3643,0.0010496,0.0010496,0.0010496
50,1512.4,1.13685,0.97628,1.26726,0.82949,0.69778,0.79053,0.4963,1.23918,0.92097,1.36374,0.0010298,0.0010298,0.0010298
51,1542.59,1.10736,0.9635,1.26173,0.83415,0.6908,0.79227,0.50538,1.20896,0.90969,1.35556,0.00101,0.00101,0.00101
52,1573.02,1.11718,0.94954,1.25301,0.8241,0.69821,0.79067,0.49907,1.22525,0.9172,1.36764,0.0009902,0.0009902,0.0009902
53,1603.63,1.11621,0.95661,1.25695,0.80476,0.70955,0.78792,0.49733,1.23289,0.91469,1.37569,0.0009704,0.0009704,0.0009704
54,1633.77,1.12066,0.94652,1.25489,0.81941,0.69853,0.78748,0.50047,1.21802,0.91762,1.36067,0.0009506,0.0009506,0.0009506
55,1663.85,1.10177,0.9359,1.24758,0.79632,0.71781,0.79589,0.50818,1.20771,0.90367,1.34636,0.0009308,0.0009308,0.0009308
56,1693.88,1.1026,0.95323,1.24938,0.80633,0.70475,0.79098,0.50422,1.2014,0.90666,1.33372,0.000911,0.000911,0.000911
57,1724.07,1.109,0.94429,1.25006,0.82368,0.70911,0.79036,0.50817,1.20409,0.89133,1.35103,0.0008912,0.0008912,0.0008912
58,1753.94,1.09829,0.92318,1.23718,0.8292,0.71042,0.79452,0.50864,1.20844,0.89284,1.35236,0.0008714,0.0008714,0.0008714
59,1783.96,1.06954,0.8927,1.22855,0.82861,0.70563,0.79654,0.51172,1.20372,0.88954,1.35636,0.0008516,0.0008516,0.0008516
60,1813.67,1.07272,0.90407,1.22996,0.81957,0.70083,0.78939,0.51253,1.20153,0.8948,1.34976,0.0008318,0.0008318,0.0008318
61,1843.73,1.08176,0.90324,1.23407,0.81308,0.71435,0.79737,0.51315,1.20518,0.87716,1.34794,0.000812,0.000812,0.000812
62,1874.12,1.06365,0.88703,1.22448,0.84169,0.69254,0.79222,0.51088,1.20354,0.8892,1.34683,0.0007922,0.0007922,0.0007922
63,1904.11,1.07856,0.90242,1.23008,0.83671,0.70693,0.80087,0.51591,1.20325,0.87206,1.34522,0.0007724,0.0007724,0.0007724
64,1934.52,1.06961,0.88886,1.2162,0.81087,0.70693,0.79125,0.51179,1.19825,0.88915,1.34642,0.0007526,0.0007526,0.0007526
65,1964.54,1.05688,0.87653,1.2151,0.83656,0.70314,0.80126,0.5211,1.18685,0.87284,1.33986,0.0007328,0.0007328,0.0007328
66,1994.7,1.04856,0.86336,1.20934,0.82481,0.71653,0.79767,0.51718,1.19983,0.86954,1.33894,0.000713,0.000713,0.000713
67,2024.38,1.04141,0.85335,1.206,0.81499,0.7222,0.80028,0.52122,1.1828,0.86751,1.32728,0.0006932,0.0006932,0.0006932
68,2054.12,1.0518,0.85906,1.20146,0.81914,0.7065,0.7957,0.51671,1.18391,0.86607,1.33561,0.0006734,0.0006734,0.0006734
69,2083.98,1.04124,0.85638,1.20321,0.82441,0.7065,0.79748,0.51641,1.18875,0.87001,1.33703,0.0006536,0.0006536,0.0006536
70,2113.88,1.02709,0.84658,1.2032,0.84195,0.71086,0.80517,0.52325,1.19033,0.85113,1.33539,0.0006338,0.0006338,0.0006338
71,2144,1.03707,0.85408,1.2032,0.84745,0.69775,0.79728,0.51477,1.21191,0.87688,1.35175,0.000614,0.000614,0.000614
72,2174.09,1.01496,0.83085,1.19849,0.8354,0.69996,0.8015,0.51928,1.19454,0.8657,1.33178,0.0005942,0.0005942,0.0005942
73,2204.13,1.03342,0.84435,1.19823,0.8218,0.71435,0.8002,0.52038,1.19691,0.87717,1.33914,0.0005744,0.0005744,0.0005744
74,2234.05,1.02732,0.83769,1.19258,0.81597,0.7174,0.79595,0.51246,1.20359,0.87654,1.3478,0.0005546,0.0005546,0.0005546
75,2264.13,1.02636,0.83055,1.19296,0.83423,0.70737,0.79798,0.51374,1.19798,0.86222,1.34046,0.0005348,0.0005348,0.0005348
76,2294.08,1.02379,0.82586,1.19612,0.82952,0.71086,0.79915,0.52152,1.18302,0.87085,1.31919,0.000515,0.000515,0.000515
77,2324.2,1.01382,0.81854,1.17952,0.8245,0.713,0.80106,0.51776,1.1886,0.86402,1.33381,0.0004952,0.0004952,0.0004952
78,2354.11,0.99609,0.80806,1.18273,0.83004,0.70824,0.79758,0.5174,1.18786,0.87259,1.33479,0.0004754,0.0004754,0.0004754
79,2384.11,0.983,0.78717,1.16716,0.81778,0.71828,0.79952,0.51827,1.19054,0.86588,1.34391,0.0004556,0.0004556,0.0004556
80,2414.28,1.0021,0.8081,1.18336,0.80792,0.71784,0.79651,0.51611,1.19493,0.87382,1.33651,0.0004358,0.0004358,0.0004358
81,2444.09,0.99369,0.7985,1.17386,0.83294,0.71566,0.80425,0.52642,1.1804,0.85315,1.33621,0.000416,0.000416,0.000416
82,2474.08,0.98624,0.79495,1.17003,0.8325,0.71609,0.80171,0.52343,1.18261,0.86061,1.3327,0.0003962,0.0003962,0.0003962
83,2503.9,0.98541,0.77917,1.16728,0.83657,0.71213,0.79512,0.5203,1.17861,0.87077,1.32925,0.0003764,0.0003764,0.0003764
84,2533.96,0.98389,0.78649,1.16293,0.82614,0.72612,0.80362,0.52799,1.17758,0.85745,1.32846,0.0003566,0.0003566,0.0003566
85,2564.51,0.96915,0.77233,1.16189,0.83086,0.71653,0.80276,0.52173,1.17876,0.85819,1.33612,0.0003368,0.0003368,0.0003368
86,2594.81,0.97493,0.7814,1.16482,0.82222,0.71871,0.80063,0.52544,1.17002,0.84568,1.32932,0.000317,0.000317,0.000317
87,2624.9,0.95677,0.7566,1.15086,0.8367,0.70833,0.80096,0.52066,1.18703,0.85152,1.34453,0.0002972,0.0002972,0.0002972
88,2655.42,0.97181,0.77227,1.15722,0.84148,0.71478,0.80402,0.52532,1.17862,0.84723,1.33421,0.0002774,0.0002774,0.0002774
89,2685.43,0.96469,0.75801,1.15512,0.83531,0.71915,0.80547,0.52879,1.17749,0.84468,1.32999,0.0002576,0.0002576,0.0002576
90,2715.32,0.96347,0.75742,1.15257,0.84044,0.71566,0.80139,0.52788,1.17138,0.84135,1.33238,0.0002378,0.0002378,0.0002378
91,2746.13,0.89712,0.63859,1.10531,0.83311,0.72061,0.80095,0.52546,1.1794,0.83672,1.34437,0.000218,0.000218,0.000218
92,2775.91,0.8895,0.61879,1.10243,0.82702,0.7222,0.80586,0.52703,1.18439,0.83088,1.3473,0.0001982,0.0001982,0.0001982
93,2805.39,0.87978,0.61459,1.09696,0.82646,0.72066,0.80561,0.53171,1.17566,0.83764,1.34103,0.0001784,0.0001784,0.0001784
94,2835.06,0.8714,0.60363,1.08912,0.82915,0.72806,0.8056,0.528,1.17788,0.84142,1.34463,0.0001586,0.0001586,0.0001586
95,2864.72,0.86362,0.59919,1.0873,0.84202,0.71129,0.80411,0.52959,1.17757,0.83483,1.34354,0.0001388,0.0001388,0.0001388
96,2894.27,0.85356,0.59457,1.08213,0.85329,0.70768,0.80466,0.52916,1.1762,0.83607,1.34428,0.000119,0.000119,0.000119
97,2923.97,0.85815,0.58901,1.08694,0.85721,0.70167,0.80139,0.52981,1.17973,0.84175,1.34927,9.92e-05,9.92e-05,9.92e-05
98,2953.51,0.8454,0.5828,1.08033,0.84584,0.71304,0.80417,0.52954,1.18229,0.83888,1.35001,7.94e-05,7.94e-05,7.94e-05
99,2983.13,0.8474,0.58273,1.07526,0.84599,0.71389,0.80451,0.52937,1.17831,0.83772,1.34847,5.96e-05,5.96e-05,5.96e-05
100,3012.93,0.84995,0.58167,1.07811,0.85535,0.70606,0.80481,0.53059,1.17867,0.83842,1.35047,3.98e-05,3.98e-05,3.98e-05
