epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1524.53,1.22197,1.08639,1.31504,0.80638,0.7065,0.7854,0.49339,1.22874,0.93166,1.37735,0.0011882,0.0011882,0.0011882
43,1560.3,1.2057,1.07948,1.31246,0.80472,0.69254,0.77908,0.49329,1.22555,0.92967,1.36262,0.0011684,0.0011684,0.0011684
44,1596.11,1.20034,1.05786,1.30185,0.80275,0.70519,0.77705,0.48562,1.25211,0.94405,1.38682,0.0011486,0.0011486,0.0011486
45,1632.38,1.19009,1.05192,1.29847,0.80525,0.68469,0.77655,0.49382,1.23076,0.92934,1.36812,0.0011288,0.0011288,0.0011288
46,1668.38,1.1855,1.04795,1.29605,0.79157,0.70889,0.78829,0.49874,1.21673,0.91464,1.34716,0.001109,0.001109,0.001109
47,1704.5,1.18284,1.04599,1.29554,0.80162,0.71548,0.78451,0.49409,1.23171,0.92398,1.36846,0.0010892,0.0010892,0.0010892
48,1740.37,1.17621,1.04019,1.29931,0.82018,0.67232,0.77127,0.48497,1.23342,0.93777,1.37798,0.0010694,0.0010694,0.0010694
49,1776.06,1.17308,1.03772,1.29707,0.82297,0.69537,0.78694,0.49703,1.23334,0.91564,1.35982,0.0010496,0.0010496,0.0010496
50,1811.46,1.18321,1.02651,1.29309,0.8191,0.70299,0.78883,0.50516,1.2073,0.89173,1.35781,0.0010298,0.0010298,0.0010298
51,1847.58,1.14641,1.0018,1.27908,0.80985,0.7126,0.79093,0.50437,1.21063,0.89326,1.3591,0.00101,0.00101,0.00101
52,1883.49,1.15375,1.00123,1.27679,0.80877,0.72303,0.79835,0.50519,1.20231,0.88109,1.35345,0.0009902,0.0009902,0.0009902
53,1919.28,1.15814,1.00798,1.2804,0.8166,0.70868,0.79698,0.50711,1.20501,0.89558,1.34637,0.0009704,0.0009704,0.0009704
54,1955.37,1.15702,0.99695,1.27683,0.83047,0.70499,0.7965,0.51722,1.19526,0.8747,1.34282,0.0009506,0.0009506,0.0009506
55,1990.96,1.12836,0.97633,1.26319,0.83337,0.70667,0.79541,0.5123,1.20282,0.88733,1.34189,0.0009308,0.0009308,0.0009308
56,2026.71,1.13631,0.99801,1.27256,0.82204,0.7113,0.79415,0.50802,1.20912,0.88633,1.35278,0.000911,0.000911,0.000911
57,2062.73,1.13673,0.98261,1.2669,0.83846,0.71217,0.80073,0.51311,1.21571,0.87062,1.35003,0.0008912,0.0008912,0.0008912
58,2098.73,1.13817,0.97244,1.25795,0.82859,0.70345,0.79344,0.50429,1.21765,0.88735,1.33639,0.0008714,0.0008714,0.0008714
59,2134.63,1.10243,0.93623,1.24594,0.83682,0.72133,0.804,0.51807,1.17564,0.86607,1.31719,0.0008516,0.0008516,0.0008516
60,2169.91,1.11031,0.94143,1.24607,0.82912,0.70868,0.7938,0.51442,1.19107,0.87566,1.32363,0.0008318,0.0008318,0.0008318
61,2206.28,1.11773,0.94455,1.25339,0.83889,0.71478,0.80255,0.52072,1.19348,0.83981,1.33268,0.000812,0.000812,0.000812
62,2242.43,1.10256,0.92482,1.24636,0.84824,0.69865,0.78317,0.50738,1.21614,0.88922,1.3567,0.0007922,0.0007922,0.0007922
